kode_kab	Kabupaten	Kode_Provi	Provinsi	WKT
1111	Aceh Utara	11	Aceh	POLYGON ((97.0465035495992083 5.2413480043069853, 97.0368227596626980 5.2133092563171886, 97.1563359803212734 5.0837042258693828, 97.1772720689508560 5.1421181650213725, 97.4838084300150740 5.2411735241389010, 97.5006034302041940 5.1912807683928008, 97.4598877855929118 5.1125315947573426, 97.5099098656478418 5.0653822433958453, 97.5063155991855979 4.9938592348158863, 97.4676965962210033 4.9311509645454521, 97.5004786043041918 4.8704336188164916, 97.3999307941708707 4.7667765582915536, 97.3190652162867877 4.7409773803018993, 97.2479095160114184 4.7547313265894786, 97.2810759402025269 4.8154274770964207, 97.2578211340381813 4.8674541190124501, 97.1436502649478371 4.9127857174869405, 97.0121972877746543 4.9076835424615410, 96.9803420940124852 4.8621586266193617, 96.8544899812276867 4.8802519159931990, 96.7859819093376927 4.9420608282446779, 96.8217970797714997 5.0697351842314333, 96.8594546202346010 5.0950991964708123, 96.9204666809926039 5.2074064760280976, 96.9077904489701041 5.2503374745948008, 96.9796168006748758 5.2625810553714700, 97.0465035495992083 5.2413480043069853))
1112	Aceh Barat Daya	11	Aceh	POLYGON ((97.1535814288399138 3.7455863484312886, 97.1352047990623078 3.6959567307185921, 97.0304690323200703 3.6037820171264343, 96.9702144867092670 3.6229665105960294, 96.9419588303358069 3.5746383467823080, 96.8793126789370262 3.6774512604673646, 96.7778636653758895 3.7374612822124504, 96.6236784798779809 3.7389569617943721, 96.5829467239122437 3.8385014270992315, 96.6291650008641341 3.9584793382509247, 96.6962211388944866 3.9884064422035976, 96.7248215827498825 4.0968917046884599, 96.7916057451091092 4.0510790777373131, 96.8359889158558644 3.9593901644245761, 96.9827887670879818 3.9425021887250864, 97.0668082745822858 3.9589752550040771, 97.1169776150249504 3.9285606276708904, 97.1066933332307940 3.8411665796739385, 97.1535814288399138 3.7455863484312886))
1113	Gayo Lues	11	Aceh	POLYGON ((97.3568371640039913 4.2091388222988826, 97.4656524992635127 4.1590903408466033, 97.5733670661372798 4.1860232185966879, 97.7178581166588174 4.2471827465865317, 97.7295467599750509 4.1453838005220405, 97.7777529496389661 4.1084288203338133, 97.7988107498163117 4.0086816703228578, 97.8611108097161377 3.9225134306503264, 97.9157396489657117 3.8851893830836275, 97.9215165880201539 3.8435020371892961, 97.8246092829920713 3.7495260354982065, 97.3048025576919713 3.6768294035541658, 97.2061579315433733 3.6939000063802609, 97.1535814288399138 3.7455863484312886, 97.1066933332307940 3.8411665796739385, 97.1169776150249504 3.9285606276708904, 97.0668082745822858 3.9589752550040771, 96.9827887670879818 3.9425021887250864, 96.8359889158558644 3.9593901644245761, 96.7916057451091092 4.0510790777373131, 96.7248215827498825 4.0968917046884599, 96.8205586872336994 4.2853827212356350, 96.9504924567615376 4.1865672256969333, 97.0670766556631861 4.2198545034826225, 97.1615093852499854 4.2808412798012796, 97.2516287765468519 4.1700089198757837, 97.3568371640039913 4.2091388222988826))
1114	Aceh Tamiang	11	Aceh	POLYGON ((98.2522079982006176 4.2891659334611063, 98.1990458497862164 4.3008605302892988, 98.1085693538926193 4.2517604657729180, 98.0473913043652487 4.1207125711283084, 98.0462035652424220 4.0239762856770653, 97.9572873904007793 3.9020266046441634, 97.9157396489657117 3.8851893830836275, 97.8611108097161377 3.9225134306503264, 97.7988107498163117 4.0086816703228578, 97.7777529496389661 4.1084288203338133, 97.7295467599750509 4.1453838005220405, 97.7178581166588174 4.2471827465865317, 97.7833574203087323 4.3504641908697863, 97.9225684881452594 4.3510925031165471, 98.0241624616283502 4.4157787872612744, 98.0793200356911257 4.5125301498466115, 98.1205117499173980 4.5230222766567749, 98.2869895724109028 4.4154899690868774, 98.2522079982006176 4.2891659334611063))
1115	Nagan Raya	11	Aceh	POLYGON ((96.8205586872336994 4.2853827212356350, 96.7248215827498825 4.0968917046884599, 96.6962211388944866 3.9884064422035976, 96.6291650008641341 3.9584793382509247, 96.5829467239122437 3.8385014270992315, 96.6236784798779809 3.7389569617943721, 96.5365353769061585 3.7298218606903788, 96.3852332056479781 3.8492560920950041, 96.2959071566899638 3.9827335250321880, 96.1920291947915871 4.1072779902870593, 96.2788498908098518 4.1551205031087761, 96.2682087814101806 4.2173123943515520, 96.2968868565432672 4.3505374550395572, 96.4795907240327324 4.4609543003007843, 96.4404356423910372 4.5100429542189886, 96.4932881497284143 4.5610994102096356, 96.4910865257226646 4.6227694194731725, 96.5815489013607475 4.5730163428299875, 96.6044410729971901 4.4772978812922588, 96.5839119833514133 4.4197922502122537, 96.6475275112856593 4.3773682417510145, 96.7780711965285718 4.3269583902175555, 96.8205586872336994 4.2853827212356350))
1116	Aceh Jaya	11	Aceh	POLYGON ((95.7432254891650700 5.0611769424619979, 95.8790586296520928 4.9149396288608500, 95.8995742870237677 4.8690646716972878, 95.9911574805333316 4.7865959677297951, 96.0424483106410776 4.6575705431461074, 96.0505819186207077 4.5926276185697930, 95.9562047536465457 4.5058828631036931, 95.8768796928436018 4.3674957703136101, 95.7628563791186593 4.4924178132315546, 95.5406115398907332 4.6738528281455274, 95.4274545700724275 4.8094706403578016, 95.3791594122770903 4.9201892162593595, 95.3623988408339187 5.0388218648372458, 95.3324075846423966 5.0506312106618907, 95.3068053473889449 5.1673268130820134, 95.3221103445168296 5.2250099595420352, 95.5818681941618706 5.2092299602944649, 95.6437239476021546 5.1390876448789413, 95.6468269737858918 5.0681979586689181, 95.7432254891650700 5.0611769424619979))
1117	Bener Meriah	11	Aceh	POLYGON ((96.7859819093376927 4.9420608282446779, 96.8544899812276867 4.8802519159931990, 96.9803420940124852 4.8621586266193617, 97.0121972877746543 4.9076835424615410, 97.1436502649478371 4.9127857174869405, 97.2578211340381813 4.8674541190124501, 97.2810759402025269 4.8154274770964207, 97.2479095160114184 4.7547313265894786, 97.3190652162867877 4.7409773803018993, 97.2940474358405254 4.6598310223837984, 97.3130263838605742 4.6028452570030822, 97.1943416258653770 4.5753278504999457, 97.1093504665508362 4.5846224976302210, 96.9495452772927706 4.6526078592653448, 96.8402358212262016 4.6659788292595863, 96.7090169600647300 4.7525089291438007, 96.6827482748130933 4.9228661706372918, 96.6574672430189139 4.9553868285393605, 96.7446804391510113 4.9666583204252106, 96.7859819093376927 4.9420608282446779))
1118	Pidie Jaya	11	Aceh	POLYGON ((96.1050608939451649 5.2871096657784733, 96.2586179668457476 5.2633715621479382, 96.3420057725484185 5.2270984110628547, 96.3350524582044159 5.1508715812585137, 96.3663612508710798 5.0455945701333462, 96.3416920422540102 4.9440872328395926, 96.2791190003416659 4.9094230003711914, 96.2114480003249923 4.9587500007120298, 96.1836980003624831 5.0682140007755834, 96.0600560002842485 5.1070320003266261, 96.0403230004062038 5.2406660007354162, 96.1050608939451649 5.2871096657784733))
1171	Kota Banda Aceh	11	Aceh	POLYGON ((95.2802620190769858 5.5518918990919133, 95.3669617230051472 5.6082835237656354, 95.3605799997672534 5.5447571708068608, 95.2802620190769858 5.5518918990919133))
1172	Kota Sabang	11	Aceh	POLYGON ((95.2214164395171565 5.9059978826961697, 95.2860313642561323 5.8415702966319145, 95.3730695801970114 5.8485013635471432, 95.3305675519510487 5.7729401795456852, 95.2848348207704134 5.7804942832846109, 95.2214164395171565 5.9059978826961697))
1173	Kota Langsa	11	Aceh	POLYGON ((98.0793200356911257 4.5125301498466115, 98.0241624616283502 4.4157787872612744, 97.8774061546703820 4.4581845044114061, 97.8975608511524342 4.5063106849901828, 97.9755962886378597 4.5577487781836226, 98.0793200356911257 4.5125301498466115))
