Provinsi	kode	WKT
Aceh	11	MULTIPOLYGON (((95.8021251170805499 2.9300870166025561, 96.1820989068391441 2.6380289149025771, 96.4534058052337855 2.4760205368183392, 96.4436866484201687 2.3283913478824729, 96.3197192763236103 2.3618977976452697, 96.1606728576663272 2.5120573910357962, 95.9422107917946505 2.5720472787589301, 95.6921449448333874 2.7740359563943002, 95.8021251170805499 2.9300870166025561)), ((98.2524072708789049 4.2889224689968160, 98.1053842627735548 4.2523837427156082, 98.0546043384195514 3.9668121478623561, 97.8002731778649377 3.7226659992365398, 97.9044110618211221 3.5569400387518613, 97.9474976871686067 3.3986681018514560, 97.9224236856046559 3.2282934881540086, 97.9824845676087648 3.0817429289930374, 97.9455387092440901 2.8967767899169417, 98.1084777255666154 2.7761210093771069, 98.0811138486252503 2.5226039681986094, 98.1848459189041023 2.3291552967795610, 98.1243825785932131 2.1729920821189239, 97.9521873557619074 2.2697883442567104, 97.7356146530938190 2.3131750158143518, 97.6605176199922198 2.4170951055547221, 97.6145837959055029 2.8333872076535727, 97.4185328264288728 2.9398685629838610, 97.3159764227737583 3.0550650126402843, 97.2545843597804378 3.2251535645854119, 97.1694219929306655 3.2576364059954130, 97.0027493242220089 3.5461007133772569, 96.7757853069464318 3.7383530013899531, 96.5342761027599749 3.7314498053642637, 96.3741693690212173 3.8665916495850183, 96.1913584309468774 4.1051445996436087, 96.0214035677205402 4.2090687111521561, 95.4318783891764042 4.8081633426641588, 95.3672830948390242 5.0325634611348846, 95.2331187983938889 5.2845352368117915, 95.2737148808371330 5.5495658619749975, 95.4322900196687556 5.6566069436555608, 95.6107071058482916 5.6277821423320233, 95.8883935628127233 5.5023314734187920, 96.0818635661507301 5.2921484556867426, 96.5320247066749175 5.1984074927116808, 96.8511313389402062 5.2765723732164815, 97.0217447550164707 5.2541115128361184, 97.2026833378658353 5.1426343327083259, 97.4971028614079955 5.2494698653420642, 97.6479462830945408 5.0743967849836622, 97.9078491124466268 4.8743444088674437, 97.9721601949370893 4.5612380272132214, 98.1522735958498060 4.5107607921768818, 98.2867475018957748 4.4181875233355754, 98.2524072708789049 4.2889224689968160)))
Sumatera Utara	12	MULTIPOLYGON (((98.4175201140620857 -0.2416326108562430, 98.5215432328340057 -0.3603900862334513, 98.5046867846674559 -0.4963378695969709, 98.3484579446784437 -0.5131326548481070, 98.4175201140620857 -0.2416326108562430)), ((97.3507860000739242 1.5412380003335215, 97.4885357640143297 1.4733189358202594, 97.6883325312214197 1.1799667609573135, 97.7995061092196352 1.1510790871301992, 97.9456617796674323 0.9667559714109757, 97.9050071441644150 0.8980538698902478, 97.8997430309162269 0.6300455399697285, 97.7097339371715066 0.5613438206608521, 97.6342312909413863 0.7951580072362958, 97.3958609446269747 1.0165959297584095, 97.1502918499889461 1.3671231620043613, 97.3452490001412798 1.4806610001051013, 97.3507860000739242 1.5412380003335215)), ((98.2524072708789049 4.2889224689968160, 98.1777822226715102 4.1441572295725564, 98.5438067828567910 4.0085275103363642, 98.6937176066822417 3.8868225177450313, 98.7737533135646117 3.7319012263605487, 98.9521555762188996 3.6757838049786642, 99.4886808863138867 3.3440864617209058, 99.5468076197759046 3.2451077707070795, 99.7572088642976951 3.1680131400943878, 99.9921479480694302 2.9400271512320728, 99.9848622371026181 2.7580471462588321, 100.2342701553434381 2.6424701026131743, 100.3219432440855030 2.5476830509321076, 100.3106100434188193 2.3552500279664628, 100.3726505328958183 2.2240992409872433, 100.2891135719338536 1.7988746829203137, 100.4167045742567552 1.6547950200741752, 100.4218426996808944 1.4853602689613012, 100.3005228165748122 1.4170306873164122, 100.0534331419260070 1.3798877047537985, 100.1111020260377131 1.2215465794111537, 100.1816515355899355 0.7622354728887899, 99.9436269992866642 0.8832059999569992, 99.8366409992827357 0.8905210000441457, 99.8505559997596492 0.6836110001476072, 99.9596230004012227 0.5687209998743015, 99.9083520363174671 0.4720530359189183, 99.7178169992551489 0.4513619999563616, 99.6487369999126713 0.5410689999344527, 99.4119799995773974 0.4862610004448698, 99.3170283072106486 0.3342789992764210, 99.1671517493538204 0.2281759986234988, 99.1067211848348961 0.5796799755505049, 98.9946679448698319 0.8210064078195387, 98.9135832588603421 1.1141725768030142, 98.7594388845969320 1.5287759634400118, 98.8395549998634237 1.6271240003723619, 98.6732687392609478 1.7453853674408037, 98.4584618833093259 1.9916149448738452, 98.2723195793851119 2.0442989354475571, 98.1243825785932131 2.1729920821189239, 98.1848459189041023 2.3291552967795610, 98.0811138486252503 2.5226039681986094, 98.1084777255666154 2.7761210093771069, 97.9455387092440901 2.8967767899169417, 97.9824845676087648 3.0817429289930374, 97.9224236856046559 3.2282934881540086, 97.9474976871686067 3.3986681018514560, 97.9044110618211221 3.5569400387518613, 97.8002731778649377 3.7226659992365398, 98.0546043384195514 3.9668121478623561, 98.1053842627735548 4.2523837427156082, 98.2524072708789049 4.2889224689968160)))
Sumatera Barat	13	MULTIPOLYGON (((100.2286161140424952 -2.7851161829653961, 100.4673145159521823 -3.0480128769926296, 100.3893505871599245 -3.2001005071326745, 100.2331785411568035 -3.0578334359642554, 100.1766622209847810 -2.8131936107964748, 100.2286161140424952 -2.7851161829653961)), ((99.9930424902187838 -2.5029015792444511, 100.1686138417554730 -2.6452876091357780, 100.2215097980388236 -2.7500000105919753, 100.1191390702119861 -2.8381589023114202, 99.9877397699744392 -2.7740227739318470, 99.9930424902187838 -2.5029015792444511)), ((99.5924229570538841 -2.0308342289164898, 99.7036621208102929 -2.0911044218315737, 99.7955171793743716 -2.3705806187005578, 99.5510534108862544 -2.2079149306294994, 99.5924229570538841 -2.0308342289164898)), ((98.9111445618721064 -0.9263317806870646, 99.1534698108831094 -1.4883685882397231, 99.2993164949603511 -1.7156718109052917, 99.2425085965945186 -1.7959553934265955, 99.0544260898922175 -1.7858760896098147, 98.8840267934018584 -1.6830704757218200, 98.8040748205965542 -1.5189681287760664, 98.6027243801261193 -1.2254458435508013, 98.6636874889865112 -0.9816270859212182, 98.9111445618721064 -0.9263317806870646)), ((100.1816515355899355 0.7622354728887899, 100.2761111108391674 0.4119444439809286, 100.4291333955898153 0.4220100394318251, 100.6472777390764577 0.2033333521525265, 100.8430336490836794 0.2233480745540533, 100.8415869402851399 -0.0065544424335258, 100.7457777776223793 -0.0517749998163595, 100.8449999996503266 -0.3427777776722678, 100.9922222219780110 -0.3158333328419758, 101.0668035019800755 -0.5035122849639606, 101.3145079432870261 -0.6334429347435844, 101.4490814798264751 -0.7650568069260544, 101.6981667006327825 -0.9355101418794902, 101.8235847178605127 -0.9776111075665312, 101.8159899998386777 -1.2178339997392413, 101.7245831157183034 -1.2375816109025664, 101.6910799997422714 -1.4899319993622271, 101.5056769996938328 -1.6659310001155063, 101.3365027776811189 -1.6807055564162283, 101.1319472217869020 -1.7725005555561211, 101.1383333328171261 -1.8988888891108786, 101.2610666668932140 -2.1018999996852017, 101.2928694436699288 -2.2886666669330680, 101.0223906014451813 -2.4784409530874427, 100.8898389090384740 -2.3252584586109037, 100.8248982597469308 -2.1776001891973351, 100.8803023217947725 -2.0452169550983399, 100.8584050116820094 -1.9132632515977548, 100.6383048882600519 -1.6076842287441195, 100.4903399338409145 -1.2988853793567046, 100.3636024762733427 -1.1248120654244076, 100.3430755692821776 -0.8876574028668074, 100.0834370263976894 -0.5528750099736612, 99.8201895590009940 -0.3007615056389454, 99.7476784158262717 -0.0377843132953899, 99.6169938463889366 0.0660740433824571, 99.3981798236400209 0.1512460275821468, 99.3602929497598666 0.2284659850172375, 99.1671517493538204 0.2281759986234988, 99.3170283072106486 0.3342789992764210, 99.4119799995773974 0.4862610004448698, 99.6487369999126713 0.5410689999344527, 99.7178169992551489 0.4513619999563616, 99.9083520363174671 0.4720530359189183, 99.9596230004012227 0.5687209998743015, 99.8505559997596492 0.6836110001476072, 99.8366409992827357 0.8905210000441457, 99.9436269992866642 0.8832059999569992, 100.1816515355899355 0.7622354728887899)))
Riau	14	MULTIPOLYGON (((103.2065358443537662 0.7021682245839429, 103.2847642907394743 0.5296381472826965, 103.1649520239168396 0.5002071426455927, 103.2065358443537662 0.7021682245839429)), ((102.7343472537228308 1.0222833161221843, 103.0462201261579480 0.8245880630886973, 102.9947482913006525 0.6892222328198159, 102.8570544373125131 0.7937988438416141, 102.5806518363132795 0.7662475868567071, 102.4107476471862128 0.8919550733679671, 102.5890828123219762 1.0012916332023565, 102.7343472537228308 1.0222833161221843)), ((102.7707710952099092 1.1589439093339706, 102.9815676025628477 1.0902820830517612, 103.1532393875877460 0.8949864946310981, 103.1020712151145631 0.8277959025588757, 102.7269773428301392 1.0395161386589393, 102.7707710952099092 1.1589439093339706)), ((102.2718179097687994 1.4185577226608075, 102.4847719203878569 1.2383329209276326, 102.3927748184032112 0.9133715816332142, 102.2760534989698726 1.0055022086600616, 102.2060172765761195 1.2772807960719206, 102.2718179097687994 1.4185577226608075)), ((102.0437795048203498 1.6069166171082543, 102.4598436287805043 1.5184092183108078, 102.5085219508274008 1.2623757328538545, 102.2856569867805661 1.4329633932460411, 102.1822422773592507 1.4381678823419293, 102.0437795048203498 1.6069166171082543)), ((101.6677300021379438 2.1178684520674551, 101.7788936812984275 1.9820667833554353, 101.7349893617696921 1.7710000701971467, 101.6190700919112828 1.6900910325751397, 101.4537498416818835 1.7267492661657684, 101.3973802629888041 2.0044325017585720, 101.6677300021379438 2.1178684520674551)), ((103.4411381580995908 -0.7316998793459106, 103.3025448525629599 -0.7655311192656882, 103.0036111496349349 -0.7547222161572904, 102.7815920519317388 -1.0233742466241438, 102.6321142004100579 -1.1241942545611323, 102.4741836749366826 -1.0706243247527141, 102.2782765484240031 -0.9158194587010371, 101.9861111153357456 -0.8811111306740713, 101.8235847178605127 -0.9776111075665312, 101.6981667006327825 -0.9355101418794902, 101.4490814798264751 -0.7650568069260544, 101.3145079432870261 -0.6334429347435844, 101.0668035019800755 -0.5035122849639606, 100.9922222219780110 -0.3158333328419758, 100.8449999996503266 -0.3427777776722678, 100.7457777776223793 -0.0517749998163595, 100.8415869402851399 -0.0065544424335258, 100.8430336490836794 0.2233480745540533, 100.6472777390764577 0.2033333521525265, 100.4291333955898153 0.4220100394318251, 100.2761111108391674 0.4119444439809286, 100.1816515355899355 0.7622354728887899, 100.1111020260377131 1.2215465794111537, 100.0534331419260070 1.3798877047537985, 100.3005228165748122 1.4170306873164122, 100.4218426996808944 1.4853602689613012, 100.4167045742567552 1.6547950200741752, 100.2891135719338536 1.7988746829203137, 100.3726505328958183 2.2240992409872433, 100.3106100434188193 2.3552500279664628, 100.3219432440855030 2.5476830509321076, 100.4404261447508588 2.2591422571095450, 100.5677083369702132 2.1557267427949682, 100.7632266685759532 2.0862525562105247, 100.8037113600912562 2.2946616441196284, 101.0463100416751558 2.2915668206522923, 101.0762436612160400 2.2150909451910366, 101.3032114106781023 2.0421789743801924, 101.3929604125930268 1.7133885322550100, 101.5283388270752880 1.6469674657759583, 101.7617862584291402 1.6595444423222148, 102.1585657700942988 1.3619642964151808, 102.2293853010908151 0.9952990286273007, 102.4981537703802701 0.7538804158485846, 102.9151453273950096 0.7131863630602311, 103.0957949131048395 0.4947712400007731, 103.4124812745911868 0.5220486093558634, 103.7422082320243248 0.2468886717748546, 103.8104368656688621 0.0086207798251507, 103.4735256506883161 -0.1020779768171565, 103.5115260927550480 -0.2016198493765273, 103.7596219100232133 -0.3003999970621862, 103.5841086394022454 -0.4008949747232577, 103.4378117484135373 -0.5385706965803365, 103.4411381580995908 -0.7316998793459106)))
Jambi	15	POLYGON ((104.4909992808921402 -1.6678006780588248, 104.4055112119729074 -1.6292581597362528, 104.0222499999376282 -1.7533166673302958, 103.6303333330169494 -1.8411944435686678, 103.5214444440059651 -1.9066583328157662, 103.5441083326335274 -2.1438888891608485, 103.3010888888412069 -2.2218138889997476, 103.1186111109141166 -2.3540833327795099, 102.8927694439547622 -2.3173388892782896, 102.7775138890547737 -2.5539583329106677, 102.4690888887412825 -2.7043000003446878, 102.2713078502771396 -2.6244727877888749, 102.0638888925583956 -2.7685194437173095, 101.9064298555534265 -2.7402895403299681, 101.6773374505629590 -2.5329741854102963, 101.2928694436699288 -2.2886666669330680, 101.2610666668932140 -2.1018999996852017, 101.1383333328171261 -1.8988888891108786, 101.1319472217869020 -1.7725005555561211, 101.3365027776811189 -1.6807055564162283, 101.5056769996938328 -1.6659310001155063, 101.6910799997422714 -1.4899319993622271, 101.7245831157183034 -1.2375816109025664, 101.8159899998386777 -1.2178339997392413, 101.8235847178605127 -0.9776111075665312, 101.9861111153357456 -0.8811111306740713, 102.2782765484240031 -0.9158194587010371, 102.4741836749366826 -1.0706243247527141, 102.6321142004100579 -1.1241942545611323, 102.7815920519317388 -1.0233742466241438, 103.0036111496349349 -0.7547222161572904, 103.3025448525629599 -0.7655311192656882, 103.4411381580995908 -0.7316998793459106, 103.6285499711043485 -0.9134001187204603, 103.8349190000118938 -1.0103419999832681, 104.0316517500282885 -1.0022333751700785, 104.2074541347006402 -1.0703020607914482, 104.3941746991031323 -1.0761258824035167, 104.4552624108316650 -1.3321786268421079, 104.4376521050606357 -1.5045840608057119, 104.4909992808921402 -1.6678006780588248))
Sumatera Selatan	16	POLYGON ((104.4909992808921402 -1.6678006780588248, 104.4721787385580001 -1.9129762140809703, 104.6112726741945949 -2.0057615727383222, 104.8275530081648412 -2.0038255491097630, 104.9066188519785214 -2.1800425248425768, 104.9101162542617658 -2.3363497137682430, 105.2971154732005630 -2.3735270873052059, 105.6338281502489735 -2.4337453030032634, 105.6348138566742136 -2.6435410897494194, 105.7788016195991077 -2.6820089301679673, 105.7888587146580335 -2.8770879393568407, 105.8723964769159238 -2.9632471921041770, 106.0127346335965512 -2.9682785410217889, 106.0882979346020534 -3.2546149490206062, 105.8853840794117787 -3.4353533131048835, 105.8259713855710515 -3.7001690227821200, 105.9559396279115617 -3.8554611352231518, 105.8263883976065358 -4.1753255209559939, 105.6518311638771479 -4.0871281814203826, 105.5727469918802512 -3.8992513982333890, 105.4113034743759272 -3.7765885260395748, 105.1426990504209016 -3.9330471922740458, 105.0492824234451632 -4.1417047565691973, 104.7925296467258818 -4.2665984465610336, 104.6211505307724110 -4.2255799165798180, 104.4499354709452632 -4.2984485195834736, 104.3218061092645712 -4.4582641670576209, 104.3019290523839118 -4.6389469683279003, 104.3539503514276134 -4.8505009836334239, 104.1216224042506155 -4.9241591824002739, 103.7882633206957621 -4.8427505488986640, 103.7894853689546721 -4.7771795701809765, 103.5931176699445473 -4.5228804929403736, 103.4065681359107884 -4.5007904572137818, 103.4547119144233989 -4.3319091803643346, 103.0594607079453908 -4.1948473681114820, 102.9185829139703401 -4.0931457916449290, 102.6609095327488035 -3.8183598722102943, 102.9947414177822793 -3.5248444443155904, 102.9884401622837231 -3.3685509781450946, 102.7896608934355527 -3.2975197071687035, 102.6183858704116574 -3.3294348353493319, 102.4942721489405812 -3.2683698377977066, 102.4813976218028415 -3.1056617970542675, 102.2428904832092940 -3.0195404965966191, 102.2240867725865314 -2.9307303671126874, 102.0638888925583956 -2.7685194437173095, 102.2713078502771396 -2.6244727877888749, 102.4690888887412825 -2.7043000003446878, 102.7775138890547737 -2.5539583329106677, 102.8927694439547622 -2.3173388892782896, 103.1186111109141166 -2.3540833327795099, 103.3010888888412069 -2.2218138889997476, 103.5441083326335274 -2.1438888891608485, 103.5214444440059651 -1.9066583328157662, 103.6303333330169494 -1.8411944435686678, 104.0222499999376282 -1.7533166673302958, 104.4055112119729074 -1.6292581597362528, 104.4909992808921402 -1.6678006780588248))
Bengkulu	17	MULTIPOLYGON (((102.1671143396550860 -5.2914332453479460, 102.3812112204215623 -5.3858750985568804, 102.2520384167395946 -5.4819244917218839, 102.1014283673253544 -5.3620599311208821, 102.1671143396550860 -5.2914332453479460)), ((102.0638888925583956 -2.7685194437173095, 102.2240867725865314 -2.9307303671126874, 102.2428904832092940 -3.0195404965966191, 102.4813976218028415 -3.1056617970542675, 102.4942721489405812 -3.2683698377977066, 102.6183858704116574 -3.3294348353493319, 102.7896608934355527 -3.2975197071687035, 102.9884401622837231 -3.3685509781450946, 102.9947414177822793 -3.5248444443155904, 102.6609095327488035 -3.8183598722102943, 102.9185829139703401 -4.0931457916449290, 103.0594607079453908 -4.1948473681114820, 103.4547119144233989 -4.3319091803643346, 103.4065681359107884 -4.5007904572137818, 103.5931176699445473 -4.5228804929403736, 103.7894853689546721 -4.7771795701809765, 103.5935437048781296 -4.9223948456455560, 103.3278500689256134 -4.8081761991721805, 103.2844250745575891 -4.7105072915782102, 103.1211074337610967 -4.5808194263753990, 102.9042698924416186 -4.4909437702387436, 102.7966553085956889 -4.3551956021952378, 102.2794460304100426 -3.9615088878248912, 102.3077165022148733 -3.8947041498765884, 102.2373428478941833 -3.6838074013904247, 102.0945528920024117 -3.5629404681280334, 101.6223481018834605 -3.2447989154375705, 101.4131634952991021 -2.9404439220493259, 101.3202265972797136 -2.7355782790143053, 101.1423253802121849 -2.6285492365580012, 101.0223906014451813 -2.4784409530874427, 101.2928694436699288 -2.2886666669330680, 101.6773374505629590 -2.5329741854102963, 101.9064298555534265 -2.7402895403299681, 102.0638888925583956 -2.7685194437173095)))
Lampung	18	POLYGON ((105.8263883976065358 -4.1753255209559939, 105.8141830011446700 -4.3002127700032702, 105.8899796105706059 -4.4382970565638402, 105.9134264723538763 -4.6468551207671567, 105.8614230653222421 -4.8169386481999936, 105.9003675689082229 -4.9232133078478455, 105.8177018873323050 -5.3516490499636120, 105.8264624666695681 -5.5795941592430154, 105.7563354226417118 -5.8689920672300673, 105.6045898109710492 -5.8304869678992191, 105.5549284103179275 -5.6980907134156382, 105.4086487881111225 -5.6219095511847854, 105.3095548219974944 -5.4567053296871677, 105.1493672868708700 -5.8089637083084540, 104.7775363303374547 -5.6054673757187743, 104.7084936159876634 -5.5218261086879465, 104.5328689247611464 -5.5460529893539388, 104.6480541499790888 -5.7007498441299731, 104.7294867423193523 -5.9326698939004245, 104.5625181319063017 -5.8636232054465154, 104.3114120391343818 -5.5914197180455290, 104.1199000703320507 -5.4571361678997619, 103.9100361140754671 -5.1260419037108136, 103.7109712007603548 -4.9631139751298292, 103.5935437048781296 -4.9223948456455560, 103.7894853689546721 -4.7771795701809765, 103.7882633206957621 -4.8427505488986640, 104.1216224042506155 -4.9241591824002739, 104.3539503514276134 -4.8505009836334239, 104.3019290523839118 -4.6389469683279003, 104.3218061092645712 -4.4582641670576209, 104.4499354709452632 -4.2984485195834736, 104.6211505307724110 -4.2255799165798180, 104.7925296467258818 -4.2665984465610336, 105.0492824234451632 -4.1417047565691973, 105.1426990504209016 -3.9330471922740458, 105.4113034743759272 -3.7765885260395748, 105.5727469918802512 -3.8992513982333890, 105.6518311638771479 -4.0871281814203826, 105.8263883976065358 -4.1753255209559939))
Kepulauan Bangka Belitung	19	MULTIPOLYGON (((107.8168312964272673 -2.5267558563975854, 108.0872222506064304 -2.6045584189358237, 108.2705870172770801 -2.7512108946669969, 108.2898344426055246 -2.8826430759171444, 108.1705733217015108 -3.1602739619737008, 108.0802280926524190 -3.2444921728754252, 107.8367116331353941 -3.1568870728800675, 107.6362853728717255 -3.2403432468433380, 107.5612286923503120 -2.9982348396660541, 107.6583066158576685 -2.5595782566311982, 107.8168312964272673 -2.5267558563975854)), ((105.9157172713350406 -1.5017661619787646, 106.1478317068678621 -1.8655870081338435, 106.1765774308038317 -2.1443690947578489, 106.2372114534458660 -2.3278881922861956, 106.3576024861658880 -2.4663666067334589, 106.6984996250577069 -2.5422293675911760, 106.7087580000816729 -2.6429240001424432, 106.5960015388400279 -2.9503319355703184, 106.4984486635750045 -3.0636601731783912, 106.2772129068502522 -2.9016927574147644, 105.9669726996304462 -2.8146844088583407, 105.8882465639278507 -2.6377427801051567, 105.9345450711981584 -2.4805301429516931, 105.8033135700652565 -2.3672581201660705, 105.7847722861121724 -2.1660546181260543, 105.5919543002507908 -2.1232181239172405, 105.3283432036759564 -2.1281809840651249, 105.1087183998343448 -2.0228023450521277, 105.1634107950721955 -1.9294959560734810, 105.3725779682986854 -1.8215083361407665, 105.3425552187484300 -1.7010994617706956, 105.4710557018591999 -1.5614195054058086, 105.9157172713350406 -1.5017661619787646)))
Kepulauan Riau	21	MULTIPOLYGON (((104.4784749353700590 -0.3356224567109507, 104.5915557308123880 -0.4933388122363453, 104.5083088668607729 -0.5955180743995925, 104.3958554816452420 -0.6046739327557589, 104.2598899402685788 -0.4752394731231107, 104.4784749353700590 -0.3356224567109507)), ((104.5546397991874414 0.0258743227418563, 104.7364904528721468 -0.1479883798597825, 104.5271496268538840 -0.2729514678359237, 104.4290401593759157 -0.2369652337584967, 104.5546397991874414 0.0258743227418563)), ((104.0979764091840138 1.1990127246575639, 104.1328016247952064 1.0342934032180437, 104.0341260286933220 0.9802286403395328, 103.9110472191538861 1.0379115340900853, 104.0979764091840138 1.1990127246575639)), ((104.5713694726231324 1.2296564317989578, 104.6600032711340873 0.9407815317423456, 104.5566437782878211 0.8137878627197210, 104.2449587688321913 1.1201792899423140, 104.4006661863954264 1.2017772055536398, 104.5713694726231324 1.2296564317989578)), ((108.2231827153101449 4.2267111955652581, 108.2298876755758101 4.1401285779715522, 108.4023917606712644 3.9581782173509055, 108.3967503557443592 3.8269379406335133, 108.3056394591937419 3.6703563352767219, 108.1456445957215919 3.6591027129198892, 107.9737341935782524 4.0144411670262912, 108.2231827153101449 4.2267111955652581)))
